,word,freq
1390,lines,1909
1391,match,1908
1392,leading,1906
1393,receive,1898
1394,addition,1896
1395,cross,1894
1396,helping,1894
1397,collection,1892
1398,overall,1888
1399,headed,1887
1400,contract,1886
1401,eventually,1886
1402,comments,1885
1403,ah,1883
1404,lived,1882
1405,effect,1881
1406,language,1876
1407,valley,1875
1408,drug,1874
1409,military,1874
1410,shoes,1873
1411,artist,1872
1412,culture,1868
1413,brand,1867
1414,museum,1867
1415,normal,1867
1416,easily,1866
1417,address,1862
1418,clearly,1862
1419,train,1862
1420,considered,1861
1421,various,1861
1422,parts,1860
1423,cash,1859
1424,nfl,1859
1425,reports,1859
1426,attack,1855
1427,association,1854
1428,production,1854
1429,raised,1852
1430,shirt,1851
1431,leader,1847
1432,doubt,1846
1433,successful,1845
1434,terms,1844
1435,particular,1843
1436,robert,1843
1437,justice,1842
1438,spirit,1837
1439,thats,1836
1440,soul,1832
1441,twice,1832
1442,cases,1830
1443,doctor,1829
1444,senate,1829
1445,heading,1825
1446,respect,1821
1447,officers,1820
1448,concert,1817
1449,wild,1817
1450,island,1816
1451,content,1815
1452,johnson,1815
1453,none,1811
1454,standing,1809
1455,app,1808
1456,creative,1806
1457,indeed,1804
1458,score,1804
1459,names,1803
1460,bout,1802
1461,china,1800
1462,web,1794
1463,reasons,1788
1464,worry,1788
1465,festival,1787
1466,wasna,1787
1467,al,1784
1468,london,1784
1469,modern,1782
1470,shots,1782
1471,broke,1781
1472,notice,1777
1473,novel,1776
1474,offered,1776
1475,degree,1774
1476,holding,1774
1477,studio,1773
1478,rd,1772
1479,crime,1771
1480,shoot,1771
1481,exciting,1770
1482,showing,1770
1483,scored,1769
1484,voters,1769
1485,cars,1768
1486,ten,1768
1487,plant,1767
1488,lets,1762
1489,benefits,1760
1490,charge,1758
1491,count,1757
1492,adding,1755
1493,homes,1755
1494,november,1755
1495,laugh,1753
1496,taxes,1753
1497,turns,1753
1498,conversation,1752
1499,dry,1749
1500,model,1749
1501,camera,1744
1502,drinking,1743
1503,impact,1743
1504,range,1742
1505,corner,1740
1506,angeles,1739
1507,arrived,1739
1508,jones,1739
1509,trouble,1739
1510,planned,1738
1511,butter,1737
1512,classes,1736
1513,steve,1736
1514,fashion,1734
1515,management,1734
1516,broken,1733
1517,yo,1731
1518,required,1730
1519,screen,1730
1520,arizona,1728
1521,particularly,1727
1522,shut,1726
1523,surprise,1725
1524,hahaha,1722
1525,wake,1722
1526,boston,1720
1527,income,1718
1528,administration,1715
1529,writer,1715
1530,da,1710
1531,advice,1708
1532,heavy,1708
1533,leaves,1707
1534,february,1705
1535,neighborhood,1702
1536,obviously,1702
1537,plenty,1700
1538,pull,1700
1539,debt,1699
1540,pre,1699
1541,scott,1699
1542,audience,1698
1543,organization,1698
1544,married,1697
1545,charges,1696
1546,speed,1695
1547,remain,1694
1548,talked,1693
1549,realized,1692
1550,skin,1692
1551,failed,1691
1552,physical,1687
1553,raise,1687
1554,sauce,1687
1555,francisco,1686
1556,cat,1685
1557,classic,1685
1558,selling,1685
1559,decide,1684
1560,knowing,1684
1561,ryan,1684
1562,easier,1683
1563,thomas,1683
1564,dollars,1681
1565,section,1680
1566,subject,1680
1567,delicious,1678
1568,seat,1678
1569,victory,1676
1570,pressure,1675
1571,isna,1673
1572,smart,1671
1573,kick,1669
1574,spread,1669
1575,hang,1667
1576,yea,1667
1577,december,1666
1578,excellent,1664
1579,losing,1663
1580,professional,1662
1581,window,1662
1582,benefit,1661
1583,battle,1659
1584,direction,1659
1585,bigger,1656
1586,investigation,1656
1587,salt,1655
1588,stars,1655
1589,guard,1654
1590,hits,1653
1591,century,1649
1592,bet,1648
1593,christian,1648
1594,fantastic,1648
1595,holy,1648
1596,joy,1647
1597,magic,1646
1598,miami,1646
1599,milk,1640
1600,thinks,1640
1601,cuts,1639
1602,offers,1639
1603,ladies,1638
1604,charged,1636
1605,grade,1635
1606,dogs,1634
1607,rule,1631
1608,pizza,1630
1609,nobody,1629
1610,surprised,1629
1611,tells,1629
1612,h,1626
1613,knowledge,1626
1614,fund,1625
1615,avoid,1623
1616,creating,1621
1617,happening,1619
1618,teaching,1619
1619,reached,1616
1620,businesses,1614
1621,seconds,1613
1622,global,1612
1623,beauty,1611
1624,camp,1609
1625,commission,1609
1626,flight,1608
1627,commercial,1607
1628,firm,1607
1629,clothes,1606
1630,mouth,1606
1631,necessary,1605
1632,tip,1604
1633,august,1603
1634,episode,1602
1635,christ,1599
1636,pink,1598
1637,skills,1598
1638,somebody,1598
1639,willing,1597
1640,individual,1596
1641,paying,1594
1642,detroit,1593
1643,efforts,1592
1644,martin,1591
1645,somewhere,1591
1646,likes,1590
1647,limited,1590
1648,notes,1590
1649,stuck,1588
1650,stick,1587
1651,celebrate,1586
1652,helps,1586
1653,buying,1585
1654,inspired,1585
1655,closer,1584
1656,mid,1581
1657,covered,1579
1658,denver,1579
1659,pulled,1579
1660,slightly,1579
1661,source,1579
1662,v,1579
1663,wind,1579
1664,gov,1578
1665,arts,1577
1666,continued,1575
1667,host,1575
1668,digital,1574
1669,mile,1572
1670,traditional,1569
1671,jack,1567
1672,yard,1566
1673,congress,1565
1674,trial,1565
1675,jim,1564
1676,pro,1564
1677,ends,1563
1678,dropped,1562
1679,em,1562
1680,talent,1562
1681,towards,1562
1682,uk,1562
1683,remains,1555
1684,readers,1554
1685,enjoying,1552
1686,parking,1551
1687,ugh,1551
1688,mobile,1550
1689,designed,1549
1690,dm,1549
1691,schedule,1549
1692,shout,1549
1693,fly,1548
1694,coast,1547
1695,construction,1545
1696,provided,1545
1697,williams,1542
1698,setting,1540
1699,october,1539
1700,approach,1538
1701,cooking,1538
1702,rates,1538
1703,baltimore,1537
1704,push,1537
